,clusters
1501,3
1502,3
1503,12
1504,9
1505,10
1506,7
1507,11
1508,11
1509,4
1510,9
1511,11
1512,8
1513,4
1514,7
1515,10
1516,12
1517,12
1518,4
1519,5
1520,4
1521,5
1522,10
1523,10
1524,12
1525,2
1526,9
1527,9
1528,6
1529,4
1530,9
1531,4
1532,6
1533,4
1534,6
1535,4
1536,11
1537,10
1538,6
1539,6
1540,3
1541,3
1542,3
1543,3
1544,4
1545,7
1546,4
1547,3
1548,3
1549,3
1550,9
1551,4
1552,7
1553,0
1554,9
1555,5
1556,4
1557,9
1558,6
1559,0
1560,4
1561,10
1562,7
1563,4
1564,4
1565,6
1566,4
1567,8
1568,4
1569,5
1570,8
1571,9
1572,3
1573,3
1574,11
1575,11
1576,4
1577,1
1578,1
1579,12
1580,4
1581,4
1582,7
1583,5
1584,4
1585,4
1586,5
1587,8
1588,4
1589,11
1590,10
1591,12
1592,12
1593,4
1594,10
1595,10
1596,7
1597,11
1598,6
1599,6
1600,4
1601,10
1602,3
1603,3
1604,3
1605,3
1606,7
1607,9
1608,3
1609,10
1610,7
1611,9
1612,4
1613,10
1614,9
1615,5
1616,6
1617,4
1618,6
1619,6
1620,4
1621,10
1622,10
1623,10
1624,4
1625,5
1626,9
1627,11
1628,9
1629,9
1630,4
1631,6
1632,7
1633,10
1634,4
1635,8
1636,12
1637,9
1638,10
1639,3
1640,3
1641,3
1642,4
1643,12
1644,4
1645,4
1646,4
1647,6
1648,2
1649,5
1650,8
1651,11
1652,7
1653,6
1654,3
1655,3
1656,3
1657,3
1658,3
1659,3
1660,3
1661,3
1662,3
1663,3
1664,3
1665,3
1666,6
1667,2
1668,10
1669,4
1670,6
1671,9
1672,6
1673,2
1674,12
1675,4
1676,9
1677,3
1678,3
1679,3
1680,11
1681,10
1682,9
1683,3
1684,3
1685,3
1686,3
1687,3
1688,3
1689,10
1690,6
1691,12
1692,12
1693,4
1694,12
1695,10
1696,4
1697,4
1698,10
1699,4
1700,4
1701,6
1702,10
1703,6
1704,7
1705,4
1706,7
1707,8
1708,8
1709,3
1710,6
1711,11
1712,10
1713,4
1714,4
1715,3
1716,3
1717,3
1718,3
1719,3
1720,10
1721,10
1722,4
1723,9
1724,6
1725,12
1726,8
1727,8
1728,6
1729,11
1730,11
1731,12
1732,7
1733,7
1734,9
1735,4
1736,9
1737,7
1738,10
1739,12
1740,3
1741,10
1742,10
1743,3
1744,3
1745,3
1746,3
1747,3
1748,3
1749,3
1750,10
1751,7
1752,4
1753,3
1754,3
1755,3
1756,3
1757,3
1758,3
1759,3
1760,10
1761,10
1762,8
1763,8
1764,7
1765,4
1766,12
1767,7
1768,12
1769,0
1770,9
1771,7
1772,4
1773,4
1774,4
1775,12
1776,7
1777,10
1778,10
1779,7
1780,0
1781,6
1782,4
1783,10
1784,9
1785,4
1786,11
1787,3
1788,5
1789,0
1790,10
1791,8
1792,7
1793,12
1794,4
1795,10
1796,4
1797,3
1798,12
1799,2
1800,4
1801,7
1802,10
1803,3
1804,5
1805,7
1806,4
1807,6
1808,7
1809,11
1810,3
1811,4
1812,4
1813,7
1814,7
1815,4
1816,4
1817,10
1818,7
1819,3
1820,10
1821,10
1822,3
1823,3
1824,4
1825,7
1826,8
1827,3
1828,3
1829,10
1830,10
1831,4
1832,9
1833,4
1834,5
1835,3
1836,6
1837,4
1838,10
1839,10
1840,9
1841,9
1842,9
1843,6
1844,3
1845,3
1846,3
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,9
1855,8
1856,7
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,11
1865,0
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,3
1874,4
1875,4
1876,7
1877,4
1878,9
1879,6
1880,10
1881,9
1882,3
1883,3
1884,3
1885,3
1886,10
1887,6
1888,3
1889,3
1890,5
1891,11
1892,4
1893,7
1894,9
1895,6
1896,3
1897,12
1898,7
1899,11
1900,5
1901,12
1902,10
1903,0
1904,2
1905,11
1906,11
1907,9
1908,4
1909,3
1910,3
1911,3
1912,4
1913,11
1914,7
1915,4
1916,5
1917,10
1918,2
1919,6
1920,8
1921,9
1922,6
1923,3
1924,10
1925,4
1926,12
1927,6
1928,7
1929,6
1930,3
1931,11
1932,5
1933,9
1934,6
1935,12
1936,2
1937,7
1938,4
1939,5
1940,4
1941,5
1942,3
1943,4
1944,7
1945,3
1946,6
1947,5
1948,4
1949,3
1950,3
1951,3
1952,3
1953,3
1954,3
1955,6
1956,2
1957,6
1958,0
1959,4
1960,0
1961,6
1962,7
1963,7
1964,7
1965,9
1966,4
1967,4
1968,3
1969,9
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,4
1980,9
1981,7
1982,7
1983,10
1984,1
1985,1
1986,1
1987,1
1988,1
1989,4
1990,10
1991,9
1992,3
1993,7
1994,7
1995,0
1996,9
1997,9
1998,4
1999,6
2000,3
2001,12
2002,0
2003,9
2004,8
2005,3
2006,3
2007,3
2008,3
2009,3
2010,3
2011,3
2012,3
2013,3
2014,3
2015,3
2016,3
2017,3
2018,3
2019,3
2020,3
2021,6
2022,4
2023,5
2024,12
2025,10
2026,6
2027,9
2028,9
2029,0
2030,9
2031,12
2032,10
2033,5
2034,3
2035,3
2036,4
2037,10
2038,10
2039,12
2040,10
2041,4
2042,8
2043,8
2044,9
2045,4
2046,4
2047,9
2048,8
2049,12
2050,4
2051,4
2052,3
2053,12
2054,4
2055,3
2056,0
2057,6
2058,9
2059,4
2060,7
